scientific_name	size_class	trophic_type	comments	trophic_type_source
Acanthoceras zachariasii	1	AU		SMHI_bvol och PEG
Acanthoceras zachariasii	2	AU		SMHI_bvol och PEG
Acanthoceras zachariasii		AU		Lagt till art utan storleksklass
Acanthoceras zachariasii	4	AU		
Acanthoceras zachariasii	5	AU		
Acanthoceras zachariasii	6	AU		
Acanthocorbis	1	AU		
Acanthocorbis		AU		
Acanthocorbis unguiculata	1	HT		
Acanthocorbis unguiculata		HT		
Acanthoica quattrospina	1	MX		SMHI_bvol och PEG
Acanthoica quattrospina		MX		
Acanthoica	1	MX		
Acanthoica		MX		
Acanthostomella norvegica	1	HT		SMHI_bvol
Acanthostomella norvegica		HT		
Achnanthes	1	AU		SMHI_bvol och PEG
Achnanthes	2	AU		SMHI_bvol och PEG
Achnanthes	3	AU		SMHI_bvol och PEG
Achnanthes	4	AU		SMHI_bvol och PEG
Achnanthes	5	AU		
Achnanthes	6	AU		
Achnanthes	7	AU		
Achnanthes	8	AU		
Achnanthes		AU		SMHI_bvol och PEG
Achnanthes brevipes		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Achnanthes brevipes		AU		Lagt till art utan storleksklass
Achnanthes longipes		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Achnanthes longipes		AU		Lagt till art utan storleksklass
Achnanthes taeniata	1	AU		SMHI_bvol och PEG
Achnanthes taeniata	2	AU		SMHI_bvol och PEG
Achnanthes taeniata	3	AU		SMHI_bvol och PEG
Achnanthes taeniata	4	AU		SMHI_bvol och PEG
Achnanthes taeniata	5	AU		SMHI_bvol och PEG
Achnanthes taeniata	6	AU		SMHI_bvol och PEG
Achnanthes taeniata	7	AU		SMHI_bvol och PEG
Achnanthes taeniata	8	AU		SMHI_bvol och PEG
Achnanthes taeniata	9	AU		SMHI_bvol och PEG
Achnanthes taeniata	10	AU		SMHI_bvol och PEG
Achnanthes taeniata	11	AU		SMHI_bvol och PEG
Achnanthes taeniata		AU		Lagt till art utan storleksklass
Achnanthidium minutissimum	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Achnanthidium minutissimum		AU		Lagt till art utan storleksklass
Achroonema lentum	1	HT		SMHI_bvol och PEG
Achroonema lentum		HT		Lagt till art utan storleksklass
Achroonema proteiforme	1	HT		SMHI_bvol och PEG
Achroonema proteiforme		HT		Lagt till art utan storleksklass
Actinastrum hantzschii	1	AU		SMHI_bvol och PEG
Actinastrum hantzschii	2	AU		SMHI_bvol och PEG
Actinastrum hantzschii	3	AU		SMHI_bvol och PEG
Actinastrum hantzschii		AU		Lagt till art utan storleksklass
Actinastrum hantzschii	4	AU		
Actinastrum hantzschii	5	AU		
Actinastrum hantzschii	6	AU		
Actiniscus pentasterias	1	HT		SMHI_bvol och PEG
Actiniscus pentasterias		HT		Lagt till art utan storleksklass
Actinocyclus	1	AU		SMHI_bvol och PEG
Actinocyclus	2	AU		SMHI_bvol och PEG
Actinocyclus	3	AU		SMHI_bvol och PEG
Actinocyclus	4	AU		SMHI_bvol och PEG
Actinocyclus	5	AU		SMHI_bvol och PEG
Actinocyclus	6	AU		SMHI_bvol och PEG
Actinocyclus	7	AU		SMHI_bvol och PEG
Actinocyclus	8	AU		SMHI_bvol och PEG
Actinocyclus	9	AU		SMHI_bvol och PEG
Actinocyclus	10	AU		SMHI_bvol och PEG
Actinocyclus		AU		Lagt till art utan storleksklass
Actinocyclus normanii	1	AU		SMHI_bvol och PEG
Actinocyclus normanii	2	AU		SMHI_bvol och PEG
Actinocyclus normanii	3	AU		SMHI_bvol och PEG
Actinocyclus normanii	4	AU		SMHI_bvol och PEG
Actinocyclus normanii	5	AU		SMHI_bvol och PEG
Actinocyclus normanii	6	AU		SMHI_bvol och PEG
Actinocyclus normanii	7	AU		SMHI_bvol och PEG
Actinocyclus normanii		AU		Lagt till art utan storleksklass
Actinocyclus normanii f. normanii	1	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	2	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	3	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	4	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	5	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii	6	AU		SMHI_bvol och PEG
Actinocyclus normanii f. normanii		AU		Lagt till art utan storleksklass
Actinocyclus normanii f. subsalsus	1	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	2	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	3	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	4	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	5	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus	6	AU		SMHI_bvol och PEG
Actinocyclus normanii f. subsalsus		AU		Lagt till art utan storleksklass
Actinocyclus octonarius	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Actinocyclus octonarius	2	AU		
Actinocyclus octonarius	3	AU		
Actinocyclus octonarius	4	AU		
Actinocyclus octonarius	5	AU		
Actinocyclus octonarius	6	AU		
Actinocyclus octonarius	7	AU		
Actinocyclus octonarius	8	AU		
Actinocyclus octonarius	9	AU		
Actinocyclus octonarius	10	AU		
Actinocyclus octonarius	11	AU		
Actinocyclus octonarius	12	AU		
Actinocyclus octonarius		AU		
Actinocyclus octonarius var. crassus	1	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	2	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	3	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	4	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	5	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	6	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus	7	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. crassus		AU		Lagt till art utan storleksklass
Actinocyclus octonarius var. octonarius	1	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	2	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	3	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	4	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	5	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	6	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	7	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	8	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	9	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	10	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	11	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius	12	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. octonarius		AU		Lagt till art utan storleksklass
Actinocyclus octonarius var. tenellus	1	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	2	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	3	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	4	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus	5	AU		SMHI_bvol och PEG
Actinocyclus octonarius var. tenellus		AU		Lagt till art utan storleksklass
Actinomonas		AU		
Actinoptychus octonarius	1	AU		SMHI_bvol och PEG
Actinoptychus octonarius	2	AU		SMHI_bvol och PEG
Actinoptychus octonarius	3	AU		SMHI_bvol och PEG
Actinoptychus octonarius	4	AU		SMHI_bvol och PEG
Actinoptychus octonarius	5	AU		SMHI_bvol och PEG
Actinoptychus octonarius	6	AU		SMHI_bvol och PEG
Actinoptychus octonarius	7	AU		SMHI_bvol och PEG
Actinoptychus octonarius	8	AU		SMHI_bvol och PEG
Actinoptychus octonarius	9	AU		SMHI_bvol och PEG
Actinoptychus octonarius	10	AU		SMHI_bvol och PEG
Actinoptychus octonarius	11	AU		SMHI_bvol och PEG
Actinoptychus octonarius	12	AU		SMHI_bvol och PEG
Actinoptychus octonarius		AU		Lagt till art utan storleksklass
Actinoptychus senarius	1	AU		SMHI_bvol och PEG
Actinoptychus senarius	2	AU		SMHI_bvol och PEG
Actinoptychus senarius	3	AU		SMHI_bvol och PEG
Actinoptychus senarius	4	AU		SMHI_bvol och PEG
Actinoptychus senarius	5	AU		SMHI_bvol och PEG
Actinoptychus senarius	6	AU		SMHI_bvol och PEG
Actinoptychus senarius	7	AU		SMHI_bvol och PEG
Actinoptychus senarius	8	AU		SMHI_bvol och PEG
Actinoptychus senarius		AU		Lagt till art utan storleksklass
Acutodesmus acuminatus	1	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	2	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	3	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	4	AU		SMHI_bvol och PEG
Acutodesmus acuminatus	5	AU		SMHI_bvol och PEG
Acutodesmus acuminatus		AU		Lagt till art utan storleksklass
Akashiwo sanguinea	1	AU		SMHI_bvol och PEG
Akashiwo sanguinea	2	AU		SMHI_bvol och PEG
Akashiwo sanguinea	3	AU		SMHI_bvol och PEG
Akashiwo sanguinea	4	AU		SMHI_bvol och PEG
Akashiwo sanguinea	5	AU		
Akashiwo sanguinea	6	AU		
Akashiwo sanguinea		AU		Lagt till art utan storleksklass
Alexandrium	1	AU		SMHI_bvol och PEG
Alexandrium	2	AU		SMHI_bvol och PEG
Alexandrium	3	AU		SMHI_bvol och PEG
Alexandrium	4	AU		SMHI_bvol och PEG
Alexandrium		AU		Lagt till art utan storleksklass
Alexandrium catenella	1	AU		
Alexandrium catenella		AU		
Alexandrium leei	1	AU		
Alexandrium leei		AU		
Alexandrium margalefii	1	AU		
Alexandrium margalefii		AU		
Alexandrium minutum	1	AU		SMHI_bvol och PEG
Alexandrium minutum	2	AU		SMHI_bvol och PEG
Alexandrium minutum		AU		Lagt till art utan storleksklass
Alexandrium ostenfeldii	1	AU		SMHI_bvol och PEG
Alexandrium ostenfeldii	2	AU		SMHI_bvol och PEG
Alexandrium ostenfeldii	3	AU		SMHI_bvol och PEG
Alexandrium ostenfeldii		AU		Lagt till art utan storleksklass
Alexandrium pseudogonyaulax	1	AU		SMHI_bvol och PEG
Alexandrium pseudogonyaulax	2	AU		SMHI_bvol och PEG
Alexandrium pseudogonyaulax		AU		Lagt till art utan storleksklass
Alexandrium tamarense	1	AU		SMHI_bvol och PEG
Alexandrium tamarense	2	AU		SMHI_bvol och PEG
Alexandrium tamarense	3	AU		SMHI_bvol och PEG
Alexandrium tamarense		AU		Lagt till art utan storleksklass
Algirosphaera	1	AU		
Algirosphaera		AU		
Algirosphaera quadricornu	1	AU		
Algirosphaera quadricornu		AU		
Algirosphaera robusta	1	AU		
Algirosphaera robusta		AU		
Amphidinium	1	AU		SMHI_bvol och PEG
Amphidinium	2	AU		SMHI_bvol och PEG
Amphidinium	3	AU		SMHI_bvol och PEG
Amphidinium	4	AU		SMHI_bvol och PEG
Amphidinium	5	AU		SMHI_bvol och PEG
Amphidinium	6	AU		SMHI_bvol och PEG
Amphidinium	7	AU		SMHI_bvol och PEG
Amphidinium	8	AU		SMHI_bvol och PEG
Amphidinium	51	HT		SMHI_bvol och PEG
Amphidinium	52	HT		SMHI_bvol och PEG
Amphidinium	53	HT		SMHI_bvol och PEG
Amphidinium	54	HT		SMHI_bvol och PEG
Amphidinium	55	HT		SMHI_bvol och PEG
Amphidinium	56	HT		SMHI_bvol och PEG
Amphidinium	57	HT		SMHI_bvol och PEG
Amphidinium	58	HT		SMHI_bvol och PEG
Amphidinium		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Amphidinium acutum	1	AU		
Amphidinium acutum		AU		
Amphidinium acutissimum	1	AU		SMHI_bvol och PEG
Amphidinium acutissimum		AU		Lagt till art utan storleksklass
Amphidinium carterae	1	AU		SMHI_bvol och PEG
Amphidinium carterae		AU		Lagt till art utan storleksklass
Amphidinium crassum	1	HT		SMHI_bvol och PEG
Amphidinium crassum	2	HT		SMHI_bvol och PEG
Amphidinium crassum	3	HT		SMHI_bvol och PEG
Amphidinium crassum		HT		Lagt till art utan storleksklass
Amphidinium incoloratum	1	HT		SMHI_bvol och PEG
Amphidinium incoloratum		HT		Lagt till art utan storleksklass
Amphidinium longum	1	HT		SMHI_bvol och PEG
Amphidinium longum		HT		Lagt till art utan storleksklass
Amphidinium operculatum	1	HT		SMHI_bvol och PEG
Amphidinium operculatum		HT		Lagt till art utan storleksklass
Amphidinium sphenoides	1	HT		SMHI_bvol och PEG
Amphidinium sphenoides	2	HT		SMHI_bvol och PEG
Amphidinium sphenoides	3	HT		SMHI_bvol och PEG
Amphidinium sphenoides		HT		Lagt till art utan storleksklass
Amphiprora	1	AU		
Amphiprora		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Amphiprora paludosa var. paludosa	1	AU		SMHI_bvol och PEG
Amphiprora paludosa var. paludosa	2	AU		SMHI_bvol och PEG
Amphiprora paludosa var. paludosa		AU		Lagt till art utan storleksklass
Amphora	1	AU		SMHI_bvol och PEG
Amphora	2	AU		SMHI_bvol och PEG
Amphora	3	AU		SMHI_bvol och PEG
Amphora	4	AU		SMHI_bvol och PEG
Amphora		AU		Lagt till art utan storleksklass
Amphora commutata	1	AU		SMHI_bvol och PEG
Amphora commutata		AU		Lagt till art utan storleksklass
Amphora ovalis	1	AU		SMHI_bvol och PEG
Amphora ovalis		AU		Lagt till art utan storleksklass
Amylax	1	AU		
Amylax		AU		
Amylax buxus	1	AU		SMHI_bvol och PEG
Amylax buxus		AU		Lagt till art utan storleksklass
Amylax triacantha	1	AU		SMHI_bvol och PEG
Amylax triacantha	2	AU		SMHI_bvol och PEG
Amylax triacantha	3	AU		SMHI_bvol och PEG
Amylax triacantha	4	AU		SMHI_bvol och PEG
Amylax triacantha		AU		Lagt till art utan storleksklass
Amylax triacantha var. triacantha	1	AU		
Amylax triacantha var. triacantha	2	AU		
Amylax triacantha var. triacantha	3	AU		
Amylax triacantha var. triacantha	4	AU		
Amylax triacantha var. triacantha		AU		
Anabaena	1	AU		SMHI_bvol och PEG
Anabaena	2	AU		SMHI_bvol och PEG
Anabaena	3	AU		SMHI_bvol och PEG
Anabaena	4	AU		SMHI_bvol och PEG
Anabaena	5	AU		SMHI_bvol och PEG
Anabaena	6	AU		SMHI_bvol och PEG
Anabaena	10	AU		
Anabaena	11	AU		
Anabaena	12	AU		
Anabaena		AU		Lagt till art utan storleksklass
Anabaena baltica	1	AU		SMHI_bvol och PEG
Anabaena baltica	2	AU		SMHI_bvol och PEG
Anabaena baltica		AU		Lagt till art utan storleksklass
Anabaena circinalis	1	AU		SMHI_bvol och PEG
Anabaena circinalis		AU		Lagt till art utan storleksklass
Anabaena cylindrica	1	AU		SMHI_bvol och PEG
Anabaena cylindrica	2	AU		SMHI_bvol och PEG
Anabaena cylindrica		AU		Lagt till art utan storleksklass
Anabaena inaequalis	1	AU		SMHI_bvol och PEG
Anabaena inaequalis	2	AU		SMHI_bvol och PEG
Anabaena inaequalis		AU		Lagt till art utan storleksklass
Anabaena macrospora	1	AU		SMHI_bvol och PEG
Anabaena macrospora		AU		Lagt till art utan storleksklass
Anabaena oscillarioides	1	AU		SMHI_bvol och PEG
Anabaena oscillarioides		AU		Lagt till art utan storleksklass
Anabaena planctonica	1	AU		SMHI_bvol och PEG
Anabaena planctonica	2	AU		SMHI_bvol och PEG
Anabaena planctonica		AU		Lagt till art utan storleksklass
Anabaena smithii	1	AU		SMHI_bvol och PEG
Anabaena smithii		AU		Lagt till art utan storleksklass
Anabaena torulosa	1	AU		SMHI_bvol och PEG
Anabaena torulosa		AU		Lagt till art utan storleksklass
Anabaenopsis	1	AU		SMHI_bvol och PEG
Anabaenopsis	2	AU		SMHI_bvol och PEG
Anabaenopsis	3	AU		SMHI_bvol och PEG
Anabaenopsis		AU		Lagt till art utan storleksklass
Anabaenopsis elenkinii	1	AU		SMHI_bvol och PEG
Anabaenopsis elenkinii		AU		Lagt till art utan storleksklass
Anagnostidinema amphibium	1	AU		
Anagnostidinema amphibium		AU		
Anathece bachmannii	1	AU		SMHI_bvol och PEG
Anathece bachmannii	2	AU		SMHI_bvol och PEG
Anathece bachmannii	3	AU		SMHI_bvol och PEG
Anathece bachmannii	4	AU		SMHI_bvol och PEG
Anathece bachmannii	5	AU		SMHI_bvol och PEG
Anathece bachmannii	6	AU		
Anathece bachmannii		AU		Lagt till art utan storleksklass
Anathece clathrata	1	AU		SMHI_bvol och PEG
Anathece clathrata	2	AU		SMHI_bvol och PEG
Anathece clathrata	3	AU		SMHI_bvol och PEG
Anathece clathrata	4	AU		SMHI_bvol och PEG
Anathece clathrata	5	AU		SMHI_bvol och PEG
Anathece clathrata		AU		Lagt till art utan storleksklass
Anathece minutissima	1	AU		SMHI_bvol och PEG
Anathece minutissima	2	AU		SMHI_bvol och PEG
Anathece minutissima	3	AU		SMHI_bvol och PEG
Anathece minutissima	4	AU		SMHI_bvol och PEG
Anathece minutissima	5	AU		SMHI_bvol och PEG
Anathece minutissima		AU		Lagt till art utan storleksklass
Anathece smithii	1	AU		SMHI_bvol och PEG
Anathece smithii	2	AU		SMHI_bvol och PEG
Anathece smithii	3	AU		SMHI_bvol och PEG
Anathece smithii	4	AU		SMHI_bvol och PEG
Anathece smithii	5	AU		SMHI_bvol och PEG
Anathece smithii		AU		Lagt till art utan storleksklass
Aneumastus tusculus	1	AU		SMHI_bvol och PEG
Aneumastus tusculus	2	AU		
Aneumastus tusculus		AU		Lagt till art utan storleksklass
Ankistrodesmus arcuatus	1	AU		SMHI_bvol och PEG
Ankistrodesmus arcuatus	2	AU		SMHI_bvol och PEG
Ankistrodesmus arcuatus	3	AU		SMHI_bvol och PEG
Ankistrodesmus arcuatus	4	AU		SMHI_bvol och PEG
Ankistrodesmus arcuatus		AU		Lagt till art utan storleksklass
Ankistrodesmus arcuatus	5	AU		
Ankistrodesmus arcuatus	6	AU		
Ankistrodesmus arcuatus	7	AU		
Ankistrodesmus arcuatus	8	AU		
Ankistrodesmus falcatus	1	AU		SMHI_bvol och PEG
Ankistrodesmus falcatus	2	AU		SMHI_bvol och PEG
Ankistrodesmus falcatus	3	AU		SMHI_bvol och PEG
Ankistrodesmus falcatus	4	AU		
Ankistrodesmus falcatus	5	AU		
Ankistrodesmus falcatus	6	AU		
Ankistrodesmus falcatus		AU		Lagt till art utan storleksklass
Ankistrodesmus fusiformis	1	AU		SMHI_bvol och PEG
Ankistrodesmus fusiformis		AU		Lagt till art utan storleksklass
Ankyra		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Ankyra judayi	2	AU		SMHI_bvol och PEG
Ankyra judayi	3	AU		
Ankyra judayi		AU		Lagt till art utan storleksklass
Ankyra lanceolata		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Apedinella	1	AU		
Apedinella		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Apedinella radians	1	AU		SMHI_bvol och PEG
Apedinella radians	2	AU		SMHI_bvol och PEG
Apedinella radians	3	AU		SMHI_bvol och PEG
Apedinella radians	4	AU		SMHI_bvol och PEG
Apedinella radians	5	AU		SMHI_bvol och PEG
Apedinella radians		AU		Lagt till art utan storleksklass
Apedinella spinifera		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Aphanizomenon	1	AU		SMHI_bvol och PEG
Aphanizomenon	2	AU		SMHI_bvol och PEG
Aphanizomenon	3	AU		SMHI_bvol och PEG
Aphanizomenon	4	AU		SMHI_bvol och PEG
Aphanizomenon	5	AU		SMHI_bvol och PEG
Aphanizomenon	6	AU		
Aphanizomenon		AU		Lagt till art utan storleksklass
Aphanizomenon balticum		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Aphanizomenon flosaquae	1	AU		SMHI_bvol och PEG
Aphanizomenon flosaquae		AU		Lagt till art utan storleksklass
Aphanizomenon flos-aquae	1	AU		Arter i sharkweb som inte finns PEG/SMHI listan
Aphanizomenon flos-aquae		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Aphanizomenon gracile	1	AU		SMHI_bvol och PEG
Aphanizomenon gracile		AU		Lagt till art utan storleksklass
Aphanizomenon hungaricum	1	AU		SMHI_bvol och PEG
Aphanizomenon hungaricum		AU		Lagt till art utan storleksklass
Aphanizomenon klebahnii	1	AU		SMHI_bvol och PEG
Aphanizomenon klebahnii		AU		Lagt till art utan storleksklass
Aphanizomenon skujae	1	AU		SMHI_bvol och PEG
Aphanizomenon skujae		AU		Lagt till art utan storleksklass
Aphanizomenon yezoense	1	AU		SMHI_bvol och PEG
Aphanizomenon yezoense	2	AU		SMHI_bvol och PEG
Aphanizomenon yezoense	3	AU		
Aphanizomenon yezoense		AU		Lagt till art utan storleksklass
Aphanocapsa	1	AU		SMHI_bvol och PEG
Aphanocapsa	2	AU		SMHI_bvol och PEG
Aphanocapsa	3	AU		SMHI_bvol och PEG
Aphanocapsa	4	AU		SMHI_bvol och PEG
Aphanocapsa	5	AU		SMHI_bvol och PEG
Aphanocapsa	6	AU		SMHI_bvol och PEG
Aphanocapsa	7	AU		SMHI_bvol och PEG
Aphanocapsa	8	AU		SMHI_bvol och PEG
Aphanocapsa	9	AU		SMHI_bvol och PEG
Aphanocapsa	10	AU		SMHI_bvol och PEG
Aphanocapsa	11	AU		SMHI_bvol och PEG
Aphanocapsa	12	AU		SMHI_bvol och PEG
Aphanocapsa	13	AU		SMHI_bvol och PEG
Aphanocapsa	14	AU		SMHI_bvol och PEG
Aphanocapsa	15	AU		SMHI_bvol och PEG
Aphanocapsa		AU		Lagt till art utan storleksklass
Aphanocapsa delicatissima	1	AU		SMHI_bvol och PEG
Aphanocapsa delicatissima	2	AU		SMHI_bvol och PEG
Aphanocapsa delicatissima	3	AU		SMHI_bvol och PEG
Aphanocapsa delicatissima	4	AU		SMHI_bvol och PEG
Aphanocapsa delicatissima	5	AU		SMHI_bvol och PEG
Aphanocapsa delicatissima	6	AU		SMHI_bvol och PEG
Aphanocapsa delicatissima	7	AU		SMHI_bvol och PEG
Aphanocapsa delicatissima		AU		Lagt till art utan storleksklass
Aphanocapsa elachista	1	AU		SMHI_bvol och PEG
Aphanocapsa elachista	2	AU		SMHI_bvol och PEG
Aphanocapsa elachista	3	AU		SMHI_bvol och PEG
Aphanocapsa elachista	4	AU		SMHI_bvol och PEG
Aphanocapsa elachista	5	AU		SMHI_bvol och PEG
Aphanocapsa elachista		AU		Lagt till art utan storleksklass
Aphanocapsa holsatica	1	AU		SMHI_bvol och PEG
Aphanocapsa holsatica	2	AU		SMHI_bvol och PEG
Aphanocapsa holsatica	3	AU		SMHI_bvol och PEG
Aphanocapsa holsatica	4	AU		SMHI_bvol och PEG
Aphanocapsa holsatica	5	AU		SMHI_bvol och PEG
Aphanocapsa holsatica		AU		Lagt till art utan storleksklass
Aphanocapsa incerta	1	AU		SMHI_bvol och PEG
Aphanocapsa incerta	2	AU		SMHI_bvol och PEG
Aphanocapsa incerta	3	AU		SMHI_bvol och PEG
Aphanocapsa incerta	4	AU		SMHI_bvol och PEG
Aphanocapsa incerta	5	AU		SMHI_bvol och PEG
Aphanocapsa incerta		AU		Lagt till art utan storleksklass
Aphanocapsa planctonica	1	AU		SMHI_bvol och PEG
Aphanocapsa planctonica	2	AU		SMHI_bvol och PEG
Aphanocapsa planctonica	3	AU		SMHI_bvol och PEG
Aphanocapsa planctonica	4	AU		SMHI_bvol och PEG
Aphanocapsa planctonica	5	AU		SMHI_bvol och PEG
Aphanocapsa planctonica		AU		Lagt till art utan storleksklass
Aphanocapsa reinboldii	1	AU		SMHI_bvol och PEG
Aphanocapsa reinboldii	2	AU		SMHI_bvol och PEG
Aphanocapsa reinboldii	3	AU		SMHI_bvol och PEG
Aphanocapsa reinboldii	4	AU		SMHI_bvol och PEG
Aphanocapsa reinboldii	5	AU		SMHI_bvol och PEG
Aphanocapsa reinboldii		AU		Lagt till art utan storleksklass
Aphanocapsa rivularis	1	AU		SMHI_bvol och PEG
Aphanocapsa rivularis	2	AU		SMHI_bvol och PEG
Aphanocapsa rivularis	3	AU		SMHI_bvol och PEG
Aphanocapsa rivularis	4	AU		SMHI_bvol och PEG
Aphanocapsa rivularis	5	AU		SMHI_bvol och PEG
Aphanocapsa rivularis		AU		Lagt till art utan storleksklass
Aphanothece	1	AU		SMHI_bvol och PEG
Aphanothece	2	AU		SMHI_bvol och PEG
Aphanothece	3	AU		SMHI_bvol och PEG
Aphanothece	4	AU		SMHI_bvol och PEG
Aphanothece	5	AU		SMHI_bvol och PEG
Aphanothece	6	AU		SMHI_bvol och PEG
Aphanothece	7	AU		SMHI_bvol och PEG
Aphanothece	8	AU		SMHI_bvol och PEG
Aphanothece	9	AU		SMHI_bvol och PEG
Aphanothece	10	AU		SMHI_bvol och PEG
Aphanothece		AU		Lagt till art utan storleksklass
Aphanothece bachmannii		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Aphanothece castagnei	1	AU		SMHI_bvol och PEG
Aphanothece castagnei	2	AU		SMHI_bvol och PEG
Aphanothece castagnei	3	AU		SMHI_bvol och PEG
Aphanothece castagnei	4	AU		SMHI_bvol och PEG
Aphanothece castagnei	5	AU		SMHI_bvol och PEG
Aphanothece castagnei		AU		Lagt till art utan storleksklass
Aphanothece minutissima		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Aphanothece paralleliformis	1	AU		SMHI_bvol och PEG
Aphanothece paralleliformis	2	AU		SMHI_bvol och PEG
Aphanothece paralleliformis	3	AU		SMHI_bvol och PEG
Aphanothece paralleliformis	4	AU		SMHI_bvol och PEG
Aphanothece paralleliformis	5	AU		SMHI_bvol och PEG
Aphanothece paralleliformis		AU		Lagt till art utan storleksklass
Aphanothece stagnina	1	AU		SMHI_bvol och PEG
Aphanothece stagnina	2	AU		SMHI_bvol och PEG
Aphanothece stagnina	3	AU		SMHI_bvol och PEG
Aphanothece stagnina	4	AU		SMHI_bvol och PEG
Aphanothece stagnina	5	AU		SMHI_bvol och PEG
Aphanothece stagnina		AU		Lagt till art utan storleksklass
Apocalathium	1	AU		
Apocalathium	2	AU		
Apocalathium	3	AU		
Apocalathium	4	AU		
Apocalathium	5	AU		
Apocalathium	6	AU		
Apocalathium	7	AU		
Apocalathium	8	AU		
Apocalathium	9	AU		
Apocalathium	10	AU		
Apocalathium	11	AU		
Apocalathium		AU		
Apocalathium malmogiense	1	AU		SMHI_bvol och PEG
Apocalathium malmogiense	2	AU		SMHI_bvol och PEG
Apocalathium malmogiense	3	AU		SMHI_bvol och PEG
Apocalathium malmogiense	4	AU		SMHI_bvol och PEG
Apocalathium malmogiense	5	AU		SMHI_bvol och PEG
Apocalathium malmogiense	6	AU		SMHI_bvol och PEG
Apocalathium malmogiense	7	AU		SMHI_bvol och PEG
Apocalathium malmogiense	8	AU		SMHI_bvol och PEG
Apocalathium malmogiense		AU		Lagt till art utan storleksklass
Archaeperidinium minutum	1	HT		SMHI_bvol och PEG
Archaeperidinium minutum	2	HT		SMHI_bvol och PEG
Archaeperidinium minutum		HT		Lagt till art utan storleksklass
Arcocellulus cornucervis	1	AU		
Arcocellulus cornucervis		AU		
Asterionella		AU		Arter i sharkweb som inte finns PEG/SMHI listan
Asterionella formosa	1	AU		SMHI_bvol och PEG
Asterionella formosa	2	AU		SMHI_bvol och PEG
Asterionella formosa	3	AU		SMHI_bvol och PEG
Asterionella formosa	4	AU		
Asterionella formosa		AU		Lagt till art utan storleksklass
Asterionellopsis glacialis	1	AU		SMHI_bvol och PEG
Asterionellopsis glacialis	2	AU		SMHI_bvol och PEG
Asterionellopsis glacialis	3	AU		SMHI_bvol och PEG
Asterionellopsis glacialis		AU		Lagt till art utan storleksklass
Asterionellopsis glacialis	4	AU		
Asterionellopsis glacialis	5	AU		
Asterionellopsis glacialis	6	AU		
